km_sample	km_species	km_non_host_reads_number	km_virus_reads_number	wz_sample	wz_species	wz_non_host_reads_number	wz_virus_reads_number
km1	200	64157138	715545	wz10	203	40660410	5580887
km100	367	68449050	6805994	wz105	120	36367078	6209387
km101	300	36069722	1622796	wz106	116	33567804	7013114
km102	332	53339612	4657723	wz112	90	20196780	1129379
km103	426	72671694	9837623	wz118	79	19296824	1197414
km104	331	50404086	6544050	wz16	366	43205154	2638287
km107	137	18416640	1385322	wz17	292	43375270	3454297
km108	190	16735500	705342	wz18	239	50354864	807903
km109	330	35886852	576087	wz19	153	47388160	1040683
km11	367	25771472	3046202	wz20	175	38791400	1937636
km110	181	39164776	575188	wz21	169	22997652	2148448
km111	154	24559670	670190	wz22	155	21231416	934856
km113	196	38903758	1776475	wz25	136	51950456	4312979
km114	241	58454652	1632238	wz26	105	51062706	4530040
km115	253	41225142	1369591	wz27	157	45148080	1349287
km116	205	34334124	2001979	wz28	119	22558004	1006360
km117	189	27723474	1147305	wz29	110	15808380	376609
km119	225	17067180	364084	wz37	95	35612168	1436071
km12	346	28034010	2171069	wz38	145	39056242	1447806
km120	242	19034912	445564	wz39	144	28420514	1356838
km121	262	19905786	419968	wz40	93	28504662	593001
km122	389	19683914	493730	wz46	49	14703068	664765
km123	249	18354854	463282	wz52	126	40614584	3329396
km13	365	23913954	2244739	wz53	83	24721456	559865
km14	336	19457332	1615055	wz54	111	27820982	1586263
km15	359	31225610	2842684	wz55	55	39825466	1398999
km2	150	36411448	392429	wz56	67	39279310	664766
km23	411	89715076	5508983	wz59	78	10901480	741943
km24	385	81686704	5404275	wz6	168	37375372	1076363
km3	180	31282486	256386	wz60	67	16439168	1540254
km30	248	37042592	311187	wz61	64	13504400	2119985
km31	333	49525214	285946	wz62	69	34072694	1811532
km32	274	75366244	357280	wz63	112	33897690	671195
km33	317	25142356	207612	wz69	44	19023926	742995
km34	231	31188266	188292	wz7	204	43342366	1091034
km35	354	32815280	2618670	wz70	45	12545064	564608
km36	352	28395462	1639582	wz71	40	17411476	217888
km4	196	28679152	592505	wz72	45	11245948	973938
km41	187	14189876	638744	wz73	39	14551498	692721
km42	180	16455742	661369	wz74	97	22156818	1737512
km43	180	13622732	565550	wz75	116	24905306	1685537
km44	191	15382944	1045684	wz76	86	17957864	1592226
km45	190	15863574	662218	wz77	76	12598732	780304
km47	312	76709578	2348561	wz78	64	13829618	510054
km48	284	74057782	680971	wz79	64	16025852	493865
km49	203	42561250	394111	wz8	127	37767828	579886
km5	156	31350614	703549	wz80	51	17072492	486983
km50	268	56349704	437677	wz81	78	22788632	1115944
km51	200	56008924	348491	wz82	66	15719574	545246
km57	199	73035138	1260567	wz83	68	12356428	388263
km58	170	71724782	1081184	wz84	73	37436078	1452039
km64	189	68088278	442471	wz85	55	13500468	602957
km65	151	51579352	222625	wz86	51	14872014	605160
km66	126	39189984	378254	wz87	98	39353430	611140
km67	184	44134774	340783	wz88	119	44670838	7592147
km68	217	46682724	299548	wz89	86	24693324	1133720
km94	280	31526810	431708	wz9	225	44226170	1037979
km95	355	44626654	779658	wz90	87	18550298	536742
km96	207	34844624	1226741	wz91	57	14553846	592390
km97	215	30919752	1094633	wz92	109	26293510	1711270
km98	198	24250376	364365	wz93	105	23219842	725073
				wz99	89	14781154	1098475
