virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
438782	Abaca bunchy top virus	Viruses; ssDNA viruses; Nanoviridae; Babuvirus	NC_010314, NC_010315, NC_010316, NC_010317, NC_010318, NC_010319	NA	NA	NA	46838	Musa sp.	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa	17978886	Literature, RefSeq	NA	NA
438782	Abaca bunchy top virus	Viruses; ssDNA viruses; Nanoviridae; Babuvirus	NC_010314, NC_010315, NC_010316, NC_010317, NC_010318, NC_010319	NA	NA	NA	214697	Musa acuminata AAA Group	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Zingiberales; Musaceae; Musa	17978886	Literature	NA	NA
1241371	Abalone herpesvirus Victoria/AUS/2009	Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Malacoherpesviridae; Aurivirus; Haliotid herpesvirus 1	NC_018874	NA	NA	NA	6451	Haliotidae	Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Haliotoidea	NA	UniProt	NA	NA
1241371	Abalone herpesvirus Victoria/AUS/2009	Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Malacoherpesviridae; Aurivirus; Haliotid herpesvirus 1	NC_018874	NA	NA	NA	36100	Haliotis rubra	Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Haliotoidea; Haliotidae; Haliotis	NA	RefSeq	NA	NA
491893	Abalone shriveling syndrome-associated virus	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses	NC_011646	NA	NA	NA	37770	Haliotis diversicolor aquatilis	Eukaryota; Metazoa; Mollusca; Gastropoda; Vetigastropoda; Haliotoidea; Haliotidae; Haliotis; Haliotis diversicolor	NA	RefSeq	NA	NA
11788	Abelson murine leukemia virus	Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Gammaretrovirus; unclassified Gammaretrovirus	NC_001499	NA	NA	NA	10090	Mus musculus	Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Muridae; Murinae; Mus; Mus	NA	UniProt	NA	NA
2025595	Abisko virus	Viruses; unclassified RNA viruses	NC_035470	NA	NA	NA	201501	Epirrita autumnata	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Geometroidea; Geometridae; Larentiinae; Epirrita	NA	RefSeq	NA	NA
665102	Abutilon Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139	NA	NA	NA	3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	20349251	Literature, RefSeq	NA	NA
665102	Abutilon Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139	NA	NA	NA	4100	Nicotiana benthamiana	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; asterids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana	20349251	Literature	NA	NA
665102	Abutilon Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_014138, NC_014139	NA	NA	NA	145753	Malva parviflora	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae; Malva	20349251	Literature	NA	NA
932071	Abutilon mosaic Bolivia virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_015045, NC_015048	NA	NA	NA	3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	21170729	Literature, RefSeq	NA	NA
1046572	Abutilon mosaic Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_016574, NC_016577	NA	NA	NA	108377	Sida rhombifolia	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae; Sida	NA	RefSeq	NA	NA
1046572	Abutilon mosaic Brazil virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_016574, NC_016577	NA	NA	NA	243762	Blainvillea rhomboidea	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; asterids; Asterales; Asteraceae; Asteroideae; Heliantheae; Blainvillea	NA	RefSeq	NA	NA
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929	NA	NA	NA	3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	NA	RefSeq, UniProt	NA	NA
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929	NA	NA	NA	3635	Gossypium hirsutum	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae; Gossypium	NA	UniProt	NA	NA
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929	NA	NA	NA	3885	Phaseolus vulgaris	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus	18678753	Literature, UniProt	NA	NA
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929	NA	NA	NA	47605	Hibiscus	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	NA	UniProt	NA	NA
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929	NA	NA	NA	96479	Malva	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	NA	UniProt	NA	NA
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929	NA	NA	NA	108335	Sida	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae	NA	UniProt	NA	NA
