Order	Family	Subfamily	Genus	Species	Type Species?	Genome Composition
Bunyavirales	Feraviridae		Orthoferavirus	Ferak orthoferavirus	1	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Actinidia chlorotic ringspot-associated emaravirus	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	European mountain ash ringspot-associated emaravirus	1	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Fig mosaic emaravirus	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	High Plains wheat mosaic emaravirus	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Pigeonpea sterility mosaic emaravirus 1	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Pigeonpea sterility mosaic emaravirus 2	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Raspberry leaf blotch emaravirus	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Redbud yellow ringspot-associated emaravirus	0	ssRNA(-)
Bunyavirales	Fimoviridae		Emaravirus	Rose rosette emaravirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Amga orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Andes orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Asama orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Asikkala orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Bayou orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Black Creek Canal orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Bowe orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Bruges orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Cano Delgadito orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Cao Bang orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Choclo orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Dabieshan orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Dobrava-Belgrade orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	El Moro Canyon orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Fugong orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Fusong orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Hantaan orthohantavirus	1	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Imjin orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Jeju orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Kenkeme orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Khabarovsk orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Laguna Negra orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Laibin orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Longquan orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Luxi orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Maporal orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Montano orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Necocli orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Nova orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Oxbow orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Prospect Hill orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Puumala orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Quezon orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Rockport orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Sangassou orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Seoul orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Sin Nombre orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Thailand orthohantavirus	0	ssRNA(-)
Bunyavirales	Hantaviridae		Orthohantavirus	Thottapalayam orthohantavirus	0	ssRNA(-)
