qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle	qcovs	contig_length	covered_percent	reads_number	taxaid	superkingdom	phylum	class	order	family	genus	species	new_virus	sample
k141_9943	APG75628.1	100	109	0	0	327	1	124	232	2.03E-75	231	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	100	327	100	1478	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz26
k141_993	AJG39243.1	100	167	0	0	501	1	1843	2009	1.31E-96	311	2243	AJG39243.1 RNA-dependent RNA polymerase [Qingnian Mosquito Virus]	100	501	100	42	1608059	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Qingnian Mosquito Virus	NO	wz38
k141_979	ASA47408.1	100	119	0	0	7	363	390	508	5.82E-78	251	508	ASA47408.1 hypothetical protein [Culex mononega-like virus 2] 	40	886	100	41	2010272	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Culex mononega-like virus 2	NO	wz39
k141_977	AJG39275.1	100	199	0	0	598	2	1017	1215	2.68E-134	421	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	599	100	402	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz39
k141_973	ASA47294.1	100	188	0	0	3	566	507	694	2.99E-133	397	799	ASA47294.1 PB1 [Wuhan Mosquito Virus 6] 	99	567	100	20	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz70
k141_971	ASA47477.1	100	325	0	0	977	3	22	346	0	627	560	ASA47477.1 nucleoprotein [Wuhan Mosquito Virus 6] 	99	978	100	3376	1608131	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	NO	wz84
k141_968	APG76979.1	100	118	0	0	1	354	357	474	5.71E-74	242	1056	"APG76979.1 RNA-dependent RNA polymerase, partial [Zhejiang mosquito virus 3]"	99	355	100	41	1923779	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Zhejiang mosquito virus 3	NO	wz118
k141_9589	KX882765.1	100	338	0	0	1	338	466	129	7.86E-177	625	1652	"KX882765.1 Hubei mosquito virus 2 strain 3mos6212 segment 2 hypothetical protein gene, complete cds "	100	338	100	2620	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_9539	APG75628.1	100	128	0	0	386	3	46	173	6.48E-89	266	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	99	387	100	973	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	NO	wz74
k141_946	AJG39275.1	100	128	0	0	2	385	326	453	2.31E-83	271	2443	AJG39275.1 RNA-dependent RNA polymerase [Zhee Mosquito virus]	99	385	100	10391	1608147	Viruses	Unassigned	Unassigned	Bunyavirales	Peribunyaviridae	Unassigned	Zhee Mosquito virus	NO	wz106
