qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle	qcovs	contig_length	covered_percent	reads_number	taxaid	superkingdom	phylum	class	order	family	genus	species	sample
k141_9720	APG77439.1	100	110	0	0	2	331	916	1025	6.28E-72	237	2036	APG77439.1 hypothetical protein 1 [Aphid lethal paralysis virus]	99	333	92.1922	8	209529	Viruses	Unassigned	Unassigned	Picornavirales	Dicistroviridae	Cripavirus	Aphid lethal paralysis virus	km15
k141_9640	APQ44489.1	100	140	0	0	70	489	1	140	4.25E-93	301	2832	APQ44489.1 polyprotein [Basavirus sp.]	86	490	100	21	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km100
k141_9304	BAU46576.1	100	227	0	0	683	3	1687	1913	1.11E-145	453	2123	BAU46576.1 RNA-dependent RNA polymerase [Culex tritaeniorhynchus rhabdovirus]	99	683	100	25	936308	Viruses	Unassigned	Unassigned	Mononegavirales	Rhabdoviridae	Unassigned	Culex tritaeniorhynchus rhabdovirus	km47
k141_921	KU179221.1	100	108	0	0	384	491	4730	4837	8.41E-49	200	5634	"KU179221.1 Maize yellow mosaic virus isolate Yunnan1, complete genome"	99	491	100	12	1856642	Viruses	Unassigned	Unassigned	Unassigned	Luteoviridae	Polerovirus	Maize yellow mosaic virus	km104
k141_9119	APG75628.1	100	350	0	0	3	1052	2	351	0	730	351	APG75628.1 RdRp [Hubei mosquito virus 2] 	95	1109	100	90	1922926	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei mosquito virus 2	km23
k141_8981	AJG39091.1	100	135	0	0	3	407	359	493	5.46E-78	250	796	AJG39091.1 PB1 [Wuhan Mosquito Virus 3]	99	407	100	12	1608128	Viruses	Unassigned	Unassigned	Unassigned	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 3	km48
k141_8665	APQ44495.1	100	330	0	0	1	990	1834	2163	0	682	2821	APQ44495.1 polyprotein [Basavirus sp.]	100	990	100	692	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km15
k141_8552	APG79143.1	100	147	0	0	441	1	132	278	2.59E-97	300	706	"APG79143.1 hypothetical protein, partial [Hubei reo-like virus 2]"	99	443	100	52	1923177	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei reo-like virus 2	km47
k141_8264	APQ44489.1	100	137	0	0	7	417	716	852	3.48E-89	288	2832	APQ44489.1 polyprotein [Basavirus sp.]	99	417	100	16	1930507	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Basavirus sp.	km100
k141_7989	APG78265.1	100	102	0	0	307	2	204	305	5.18E-68	218	540	APG78265.1 RdRp [Hubei partiti-like virus 18]	99	309	100	8	1923024	Viruses	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Hubei partiti-like virus 18	km94
